name,description
Apple,Conhecida por seus produtos inovadores como iPhone MacBook e Apple Watch.
Microsoft,Líder em software corporativo criadora do Windows e da suíte Office.
Google,Especialista em buscas online e criadora do sistema operacional Android.
Amazon,Líder em comércio eletrônico e serviços em nuvem com o AWS.
Samsung,Multinacional famosa por smartphones TVs e eletrodomésticos avançados.
Intel,Líder em fabricação de processadores para computadores e dispositivos móveis.
AMD,Competidora da Intel no mercado de processadores e GPUs.
NVIDIA,Especialista em placas gráficas e tecnologias de inteligência artificial.
Sony,Reconhecida por produtos eletrônicos consoles de jogos como o PlayStation.
IBM,Pioneira em soluções empresariais e computação de alto desempenho.
Dell,Fabricante de computadores e servidores para uso corporativo e pessoal.
HP,Líder em impressoras e computadores pessoais para consumidores finais.
Oracle,Fornecedora de bancos de dados e soluções corporativas baseadas em nuvem.
Cisco,Famosa por seus equipamentos e soluções de redes empresariais.
Tencent,Uma das maiores empresas de tecnologia da China criadora de jogos como PUBG.
Huawei,Fabricante de smartphones dispositivos de rede e infraestrutura 5G.
LG,Conhecida por TVs eletrodomésticos e smartphones inovadores.
Xiaomi,Destaque em smartphones e dispositivos inteligentes de custo-benefício.
Facebook (Meta),Empresa matriz de plataformas como Facebook Instagram e WhatsApp.
Tesla,Líder em veículos elétricos e tecnologias de energia sustentável.